Union,Below_1,1_to_4,5_to_14,15_to_24,25_to_34,35_to_49,50_to_64,65_above,Total_age,No_Education,Primary,Primary_Incomplete,Secondary_Incomplete,SSC_Passed,HSC_Passed,Graduate,Total_edu,Male,Female,Total_Member,Total_Household,Year,Time,Still_Birth,Neonata_ Death,Infant_Death,Death_1_to_5,Preg
2,656,2666,7134,5848,5687,6404,4338,2147,34880,13301,6727,3155,7580,2127,1194,785,34869,17207,17673,34880,9749,100,,0,0,0,0,0
5,562,2071,5718,4506,4441,5194,3411,1765,27668,10548,4854,2450,6056,1718,1172,861,27659,13467,14201,27668,7743,100,,0,0,0,0,0
4,603,2341,6415,5019,4946,5659,3850,2076,30909,12144,5806,2906,6676,1822,1020,527,30901,15095,15814,30909,8618,100,,0,0,0,0,0
3,622,2320,6442,5283,4874,5630,3826,1916,30913,10747,6186,2951,7449,1931,1044,602,30910,15334,15579,30913,8166,100,,0,0,0,0,0
6,266,1271,3672,3252,3359,3778,2780,1406,19784,7135,3429,1443,5111,1200,852,611,19781,9890,9894,19784,4836,100,,0,0,0,0,0
7,542,1884,5379,4240,4204,4717,3259,1577,25802,9420,4553,2036,6360,1654,1107,670,25800,12581,13221,25802,6871,100,,0,0,0,0,0
1,688,2945,7551,6329,5831,6654,4715,2385,37098,14987,6615,3311,8128,2123,1284,634,37082,17942,19156,37098,10628,100,,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,2017,9,2,10,10,0,103
,,,,,,,,,,,,,,,,,,,,,,2017,10,8,14,16,2,309
,,,,,,,,,,,,,,,,,,,,,,2017,11,9,5,7,1,347
,,,,,,,,,,,,,,,,,,,,,,2017,12,5,9,10,2,342
2,375,2837,7318,6732,6001,7067,4950,2410,37690,13762,7256,3339,8334,2518,1431,1047,37687,18538,19152,37690,9749,2018,1,11,10,11,2,247
5,318,2324,6001,5277,4768,5860,3947,2009,30504,10878,5419,2475,6948,2316,1317,1145,30498,14783,15721,30504,7743,2018,2,9,4,5,1,320
4,353,2508,6683,5793,5109,6320,4327,2284,33377,12647,6163,3066,7436,2191,1171,698,33372,16132,17245,33377,8618,2018,3,9,12,12,0,319
3,318,2512,6547,6144,5085,6304,4340,2180,33430,11092,6527,3153,8092,2485,1254,824,33427,16520,16910,33430,8166,2018,4,12,6,9,2,326
6,171,1191,3482,3534,3310,4024,3061,1608,20381,6974,3460,1473,5232,1581,901,759,20380,10125,10256,20381,4836,2018,5,13,9,11,3,352
7,277,2065,5358,4759,4158,5245,3689,1872,27423,9741,4774,2085,6651,2123,1212,837,27423,13285,14138,27423,6871,2018,6,5,10,13,3,300
1,444,3177,7914,7369,6200,7590,5325,2736,40755,15741,7079,3550,9265,2766,1450,895,40746,19592,21163,40755,10628,2018,7,9,5,8,0,461
,,,,,,,,,,,,,,,,,,,,,,2018,8,15,7,9,1,345
,,,,,,,,,,,,,,,,,,,,,,2018,9,11,5,6,3,210
,,,,,,,,,,,,,,,,,,,,,,2018,10,17,10,12,2,332
,,,,,,,,,,,,,,,,,,,,,,2018,11,15,16,19,3,570
,,,,,,,,,,,,,,,,,,,,,,2018,12,8,17,21,3,399
2,838,2874,7372,6777,6099,7095,4955,2361,38371,14259,7311,3359,8421,2528,1441,1049,38371,18869,19502,38371,9749,2019,1,14,18,20,1,442
5,670,2359,6018,5354,4825,5868,3940,1950,30984,11247,5445,2470,6979,2315,1347,1176,30984,14996,15988,30984,7743,2019,2,8,10,13,0,377
4,798,2568,6690,5845,5157,6336,4325,2233,33952,13124,6212,3079,7451,2214,1157,709,33952,16338,17614,33952,8618,2019,3,9,12,17,4,420
3,730,2602,6584,6291,5138,6339,4350,2128,34162,11593,6579,3167,8186,2514,1282,837,34162,16779,17383,34162,8166,2019,4,8,8,8,0,521
6,362,1245,3491,3580,3328,4016,3058,1565,20645,7193,3461,1485,5235,1601,905,764,20645,10197,10448,20645,4836,2019,5,11,8,12,4,441
7,621,2107,5391,4785,4211,5255,3680,1834,27884,10119,4795,2103,6672,2128,1216,851,27884,13470,14414,27884,6871,2019,6,7,21,24,0,386
1,963,3247,7970,7416,6304,7630,5340,2683,41553,16326,7125,3570,9326,2794,1476,927,41553,19957,21596,41553,10628,2019,7,7,19,20,2,469
,,,,,,,,,,,,,,,,,,,,,,2019,8,9,19,22,2,284
,,,,,,,,,,,,,,,,,,,,,,2019,9,15,16,17,2,413
,,,,,,,,,,,,,,,,,,,,,,2019,10,12,21,24,3,375
,,,,,,,,,,,,,,,,,,,,,,2019,11,13,15,17,3,456
,,,,,,,,,,,,,,,,,,,,,,2019,12,11,10,11,0,345
,,,,,,,,,,,,,,,,,,,,,,2020,1,12,14,17,0,404
,,,,,,,,,,,,,,,,,,,,,,2020,2,11,8,11,1,516
,,,,,,,,,,,,,,,,,,,,,,2020,3,10,10,16,3,259
,,,,,,,,,,,,,,,,,,,,,,2020,4,14,14,15,0,0
,,,,,,,,,,,,,,,,,,,,,,2020,5,11,4,4,2,0
,,,,,,,,,,,,,,,,,,,,,,2020,6,10,8,8,1,0
,,,,,,,,,,,,,,,,,,,,,,2020,7,4,1,2,1,0
,,,,,,,,,,,,,,,,,,,,,,2020,8,0,0,0,1,0
